x,y,z,label
5.99546,-6.44081,5.95436,0
5.99308,-4.82892,6.7014,0
5.22392,-7.02406,7.12067,0
5.70085,-7.69084,6.67517,0
4.14125,-7.90253,7.42522,0
5.18081,-7.91783,6.69589,0
6.16363,-7.682,7.92985,0
5.92773,-6.86959,5.90245,0
5.55202,-6.50708,5.26584,0
4.25395,-5.72536,7.06764,0
6.13304,-6.17498,6.37722,0
3.16931,-5.19184,6.97354,0
5.71091,-8.16571,6.97773,0
4.51584,-5.98591,6.42806,0
4.87347,-7.33696,5.22208,0
4.19497,-7.45999,7.24467,0
4.682,-4.80496,8.92422,0
6.09243,-7.15094,5.40128,0
4.95271,-6.84115,6.19023,0
4.85596,-7.48217,7.61253,0
4.33639,-6.69719,5.22312,0
5.93908,-5.52179,5.81887,0
6.14629,-6.25554,5.29116,0
5.01119,-7.10785,6.11595,0
4.96918,-7.51128,6.55649,0
5.56788,-6.22211,5.53692,0
5.63004,-7.37785,5.93584,0
5.41183,-6.49831,6.70297,0
5.28768,-8.3082,6.95631,0
5.69839,-7.36316,6.6623,0
4.26467,-6.85574,6.86727,0
5.90914,-8.07016,5.14139,0
6.23292,-7.60181,7.09671,0
4.61895,-8.13563,6.3007,0
7.06259,-6.87632,8.76436,0
6.61584,-6.6414,6.74577,0
5.56538,-8.42216,5.42031,0
6.01591,-7.48411,5.79454,0
4.82809,-7.39111,6.08531,0
5.0754,-6.24095,6.10511,0
5.42092,-6.99287,6.50024,0
5.8817,-6.33922,7.1443,0
3.52625,-8.0717,6.18515,0
7.8032,-5.20893,6.28283,0
6.29629,-6.51032,5.67343,0
5.25712,-7.39401,5.861,0
5.49842,-6.33231,5.61907,0
6.56707,-5.93978,7.48956,0
4.96686,-5.5397,6.64871,0
5.52486,-6.11601,6.77281,0
5.76047,-8.2943,6.16386,0
4.28473,-6.46545,7.62413,0
5.04853,-6.03693,7.34014,0
4.19028,-5.20068,6.4645,0
6.96113,-5.87283,7.18224,0
4.9316,-7.02098,6.68003,0
4.2838,-7.70503,7.55068,0
3.84969,-7.50448,6.68274,0
2.85741,-7.46496,5.9028,0
5.06905,-6.81259,6.55699,0
6.46868,-7.0308,6.31922,0
5.56843,-6.67097,5.90738,0
4.7261,-6.91963,6.19727,0
5.62708,-7.85688,5.99304,0
5.61274,-5.89791,4.82237,0
5.4226,-7.87264,7.61119,0
4.95742,-7.41298,7.0879,0
4.28196,-4.40295,7.40551,0
5.07995,-5.64238,6.84318,0
6.09677,-7.29581,6.67308,0
3.96671,-6.59767,8.23304,0
3.91568,-8.14101,7.34151,0
4.85105,-8.18234,6.02267,0
4.51131,-7.45379,6.65066,0
5.29883,-6.98346,6.73035,0
4.61931,-7.27727,6.35896,0
5.60348,-6.58868,7.1483,0
3.19167,-7.51718,7.7061,0
5.59253,-9.06916,7.78133,0
5.90784,-6.27662,8.27709,0
6.23638,-6.46858,6.01418,0
5.89178,-7.79976,6.42598,0
6.03283,-6.02885,5.97949,0
5.33172,-6.30665,6.1035,0
5.7957,-6.84659,8.05094,0
4.60599,-6.67967,4.5135,0
5.61731,-7.37972,6.85648,0
5.83073,-5.61109,5.37254,0
4.8667,-7.4889,6.84459,0
4.67112,-7.66884,9.71038,0
6.58432,-6.16928,5.92598,0
4.3535,-6.95074,6.16168,0
5.27176,-5.3501,6.08315,0
4.04158,-7.14301,5.8311,0
4.7697,-7.00367,6.71416,0
6.1293,-6.32491,6.73278,0
6.08464,-8.11164,6.9283,0
4.36478,-6.94281,5.58746,0
4.54363,-6.29129,7.42935,0
5.82003,-6.60221,6.02798,0
6.04664,-6.76175,6.33231,0
7.28954,-6.44377,6.71153,0
5.73801,-7.62245,7.62442,0
7.54295,-5.5832,6.81806,0
3.90559,-7.26865,8.13869,0
5.7041,-6.32742,6.17985,0
4.84019,-6.90846,7.92295,0
5.15964,-5.77193,7.50981,0
4.66061,-8.17317,5.8522,0
5.84661,-5.64158,6.41725,0
4.97462,-6.81289,4.79812,0
6.45153,-8.49247,7.11894,0
6.96426,-5.49324,6.12561,0
4.14736,-8.09501,7.32082,0
5.63272,-6.0308,4.62877,0
4.93359,-6.05961,7.47103,0
7.68351,-7.7915,7.01192,0
5.7434,-8.12574,5.986,0
5.91004,-7.30886,6.7792,0
3.91627,-6.3211,6.98046,0
4.02969,-4.74698,5.68038,0
5.40216,-7.66438,6.01244,0
5.89909,-7.39434,6.19573,0
5.32716,-7.82274,6.05571,0
6.78432,-7.50714,7.15955,0
4.55595,-8.21692,7.57704,0
3.90785,-6.42797,7.47015,0
6.88107,-6.60634,7.03337,0
5.76782,-6.20805,8.20698,0
6.92107,-7.58521,6.86541,0
5.1208,-6.94358,6.3455,0
6.13901,-7.76863,7.09116,0
4.17919,-5.72914,6.61067,0
5.36474,-6.65641,6.94209,0
4.14425,-7.03481,6.21758,0
5.17572,-8.72832,6.83616,0
4.73885,-7.63223,6.4656,0
6.08217,-7.66479,6.72211,0
5.9108,-7.79681,7.20489,0
4.84243,-6.63121,6.35079,0
6.21893,-8.78829,6.47124,0
5.40483,-6.90905,6.07123,0
5.77821,-6.19974,8.11857,0
6.20258,-8.44476,6.59151,0
7.10731,-7.34997,7.62818,0
4.43041,-6.45783,6.63047,0
5.89152,-5.4608,7.42097,0
5.45211,-7.58873,6.40504,0
6.02337,-7.82797,5.69213,0
6.4839,-6.26229,5.78639,0
7.66434,-5.53484,7.29997,0
7.03049,-5.68211,5.69648,0
5.84524,-5.84183,5.57613,0
7.13986,-7.43047,5.43845,0
4.23206,-7.20122,7.30641,0
5.3433,-7.58603,7.36933,0
