x,y,z,label
5.40338,-12.7692,-8.98251,1
5.45445,-13.8017,-9.10922,1
4.90637,-10.7902,-7.27696,1
4.68212,-12.3347,-7.79462,1
5.41432,-12.5265,-7.15505,1
5.63684,-13.6412,-7.85509,1
4.92147,-12.123,-8.4593,1
5.56579,-13.6671,-9.28467,1
6.20797,-12.6268,-7.76819,1
5.71279,-12.7827,-7.89858,1
6.76227,-13.4479,-8.71112,1
7.05377,-12.0989,-8.78447,1
5.77983,-11.5066,-8.28917,1
4.33421,-11.5662,-7.48943,1
4.7573,-13.3287,-8.12887,1
5.88959,-12.3949,-6.28025,1
5.68208,-12.8042,-8.62661,1
6.38807,-12.8704,-8.24984,1
3.85146,-12.2265,-8.04728,1
5.26785,-13.1883,-8.36627,1
5.91869,-13.7703,-9.03528,1
5.39381,-12.6478,-9.52948,1
5.29558,-13.4634,-9.82137,1
5.05523,-10.8022,-8.72526,1
4.70432,-13.1492,-7.84975,1
4.57248,-11.7561,-8.76663,1
3.70957,-11.5818,-8.78766,1
4.05884,-12.6768,-8.15125,1
3.92742,-10.8942,-9.21223,1
5.85883,-11.1542,-9.4777,1
5.345,-13.2936,-8.83805,1
5.92782,-12.79,-7.82921,1
4.69388,-12.3135,-9.45119,1
3.91507,-12.6895,-9.48369,1
6.10858,-13.284,-7.31372,1
5.47044,-11.5393,-9.52188,1
5.54146,-12.0032,-9.61002,1
4.6213,-12.7715,-7.51272,1
5.77066,-12.4981,-7.56454,1
4.8084,-12.8343,-8.45647,1
7.0506,-14.2004,-5.63035,1
3.22282,-12.3254,-7.67521,1
5.16459,-14.1204,-8.56664,1
4.34422,-10.8718,-10.0136,1
5.93134,-11.9871,-9.25468,1
3.69736,-13.1278,-8.26324,1
4.34093,-14.1321,-8.31849,1
4.85028,-12.9672,-8.82085,1
5.41114,-11.4479,-9.5417,1
4.05822,-12.9298,-6.90283,1
5.21598,-15.4519,-7.78704,1
4.78072,-13.7045,-7.35543,1
6.0021,-14.774,-8.04126,1
4.33238,-12.014,-9.98402,1
4.48879,-11.2498,-8.87807,1
5.86134,-12.4094,-8.33681,1
6.57311,-13.3914,-8.48946,1
5.66285,-13.4896,-8.06683,1
5.12213,-12.2786,-7.14831,1
5.66965,-11.5627,-8.89722,1
5.4334,-13.2361,-9.07238,1
4.83354,-13.4377,-8.19266,1
4.25906,-10.3039,-8.81935,1
4.73081,-11.5424,-9.49726,1
4.30502,-13.3521,-9.86544,1
4.51835,-12.6428,-8.06505,1
6.86554,-13.481,-7.46448,1
5.09414,-11.8939,-7.42675,1
4.26715,-14.001,-9.21677,1
3.76622,-12.7011,-7.86918,1
4.77703,-12.5391,-9.4984,1
6.00289,-12.8195,-10.4437,1
3.66376,-14.0744,-9.04672,1
4.14749,-11.8637,-7.70811,1
5.27413,-12.863,-9.40433,1
5.59707,-13.8678,-7.44714,1
6.04202,-13.9507,-8.49543,1
4.209,-12.3223,-7.76343,1
5.4127,-14.1777,-8.52271,1
5.20191,-12.2518,-8.29986,1
4.41153,-13.5912,-8.16732,1
5.53584,-13.0417,-7.89694,1
4.69632,-12.7434,-9.25966,1
4.56531,-13.538,-8.01897,1
4.94048,-13.5175,-7.49154,1
5.13661,-13.4701,-8.10779,1
4.45549,-12.0468,-9.40172,1
4.58389,-12.593,-9.12163,1
4.21877,-11.2196,-7.18333,1
4.99707,-12.6854,-7.77909,1
5.05891,-12.9798,-7.82041,1
5.46383,-12.2202,-8.08279,1
4.63768,-13.3802,-9.00703,1
5.4451,-13.2851,-7.50739,1
4.91324,-13.2942,-8.26041,1
4.79348,-13.0643,-9.01607,1
4.17061,-12.9915,-8.95079,1
4.26689,-12.5404,-8.58042,1
4.95501,-11.5158,-8.16283,1
4.63822,-14.0206,-7.63373,1
3.51114,-12.1605,-6.53582,1
4.74621,-12.585,-7.47285,1
6.33433,-13.0333,-8.58597,1
5.38701,-13.6309,-8.57981,1
6.48203,-13.5627,-7.33589,1
4.35243,-13.1374,-8.34986,1
5.39175,-13.5148,-8.54309,1
4.54724,-12.9511,-7.27086,1
5.5568,-14.6593,-8.7657,1
6.23286,-11.7518,-8.31138,1
5.18827,-12.889,-9.9917,1
5.13476,-12.9986,-7.94855,1
5.09935,-13.9183,-8.75764,1
5.33381,-12.2594,-7.76452,1
4.83019,-11.8155,-8.30889,1
4.08623,-12.0367,-7.34504,1
4.5429,-12.858,-8.1208,1
4.60696,-12.1692,-8.53995,1
5.98208,-15.1723,-6.75108,1
4.68155,-13.1598,-6.51979,1
5.13395,-13.7126,-9.17497,1
5.84242,-14.5867,-8.31074,1
5.73648,-13.224,-9.79557,1
4.16111,-13.8846,-9.18421,1
5.5775,-12.4345,-8.04327,1
4.95245,-14.2647,-8.88788,1
4.84716,-12.4951,-8.19754,1
6.57776,-12.7142,-9.36404,1
4.3863,-12.6792,-8.9356,1
4.29439,-13.3161,-7.88878,1
4.95244,-12.6125,-8.92142,1
5.95869,-13.5937,-7.80784,1
4.67016,-14.7139,-7.91022,1
4.46796,-13.3086,-9.03188,1
6.10514,-13.24,-6.59257,1
4.83887,-12.9688,-7.46477,1
4.75132,-11.8949,-8.2781,1
5.63575,-13.3179,-7.23597,1
4.69437,-11.6854,-8.46753,1
4.85053,-13.9516,-7.32121,1
3.81257,-12.6912,-8.9164,1
4.3792,-11.5278,-8.8594,1
5.23586,-12.9762,-7.15328,1
5.08985,-12.0983,-9.42599,1
4.98623,-12.0195,-8.95947,1
4.65724,-11.9282,-9.57197,1
4.72577,-12.9081,-8.71599,1
8.09108,-12.0318,-8.2196,1
5.14913,-13.6344,-7.57463,1
4.79982,-13.8373,-8.05474,1
6.26746,-14.7247,-7.15679,1
5.09319,-12.8069,-7.7486,1
4.32624,-11.7184,-7.92227,1
4.15492,-12.627,-8.81861,1
5.37157,-12.2793,-7.99233,1
4.80351,-13.3847,-9.61441,1
4.89716,-13.5447,-7.89803,1
4.9729,-13.0412,-8.08017,1
5.97163,-12.9768,-9.09948,1
6.59156,-14.8816,-8.03805,1
5.3073,-14.1581,-7.62924,1
3.56686,-12.6656,-9.07355,1
5.45293,-13.9709,-8.50694,1
5.10107,-12.6506,-8.80734,1
4.11583,-11.7554,-7.9716,1
4.55335,-11.5867,-10.2515,1
4.13639,-13.1188,-7.67546,1
4.59628,-12.1235,-8.5055,1
7.43003,-13.0324,-8.67803,1
4.27207,-12.1725,-7.75036,1
4.83191,-13.9656,-7.33125,1
4.66592,-12.68,-8.19245,1
7.11609,-14.3564,-8.28021,1
4.32657,-13.3739,-7.30008,1
5.63121,-13.187,-8.63157,1
5.6999,-12.7586,-8.60584,1
4.65291,-13.1053,-8.34206,1
6.12543,-11.9788,-9.37189,1
5.19377,-13.7834,-6.6987,1
5.6671,-12.7882,-8.82444,1
4.09995,-13.1088,-7.8716,1
4.81783,-13.4218,-9.63764,1
3.08354,-12.6503,-9.12445,1
4.42654,-13.8613,-8.54004,1
3.18161,-11.6883,-8.44115,1
5.03909,-11.5007,-7.34563,1
4.74474,-12.0777,-9.66138,1
5.31346,-12.521,-8.31,1
6.76464,-13.8615,-8.60154,1
5.02307,-12.3588,-6.9595,1
4.29869,-13.0909,-10.4971,1
4.83231,-12.0983,-7.90566,1
7.03089,-12.797,-7.57232,1
4.30937,-12.3282,-7.36439,1
5.27045,-12.8609,-10.3077,1
4.64061,-13.3965,-7.35955,1
5.86118,-11.6472,-10.0551,1
4.9012,-13.9847,-7.24981,1
4.00524,-12.9162,-8.98919,1
5.92071,-12.2149,-7.99295,1
4.87633,-13.9785,-8.18988,1
2.51273,-12.0422,-9.24337,1
7.46525,-12.8841,-7.72902,1
4.84398,-13.0421,-7.96093,1
6.29407,-13.056,-7.58123,1
3.7181,-14.3057,-7.14294,1
7.28253,-12.0336,-7.67091,1
4.13226,-11.7137,-8.34188,1
5.64037,-10.8657,-7.94964,1
4.88462,-12.1404,-9.68885,1
4.44154,-12.542,-7.78179,1
5.54441,-12.3994,-8.67501,1
5.23333,-12.8935,-8.10967,1
5.7545,-12.8966,-8.45252,1
4.57105,-13.2927,-8.34678,1
5.11003,-12.8287,-8.8714,1
4.87352,-13.0228,-9.85389,1
4.74265,-12.5624,-9.31087,1
5.67118,-13.2674,-8.11983,1
2.9317,-13.989,-7.91353,1
5.49388,-11.8768,-8.68167,1
4.94301,-12.2812,-7.74581,1
3.91838,-11.8667,-8.75713,1
5.87803,-13.4812,-9.95366,1
5.23452,-12.3982,-9.81802,1
4.4016,-11.6519,-8.04802,1
4.00067,-12.3323,-10.2124,1
5.67119,-11.93,-6.64837,1
5.08367,-13.3209,-6.95587,1
4.96071,-11.8675,-7.82751,1
4.42283,-14.019,-7.714,1
4.84801,-14.8558,-9.01386,1
4.00831,-12.1125,-7.8849,1
4.12759,-12.477,-7.93739,1
5.07301,-11.4185,-7.15983,1
6.27024,-11.6254,-9.03609,1
4.54302,-13.1139,-8.63134,1
5.86215,-13.6311,-6.74681,1
4.36886,-13.5531,-8.52352,1
4.0658,-12.5815,-9.00574,1
4.26932,-14.5055,-8.53636,1
5.31865,-13.6321,-8.10609,1
5.34326,-11.9651,-8.24257,1
6.09201,-10.2164,-7.30966,1
6.02748,-13.1472,-7.22599,1
4.34771,-13.3691,-8.02762,1
4.79894,-11.9253,-8.40222,1
5.03915,-12.36,-8.64148,1
5.07301,-11.9755,-8.02558,1
4.39096,-11.8314,-8.65732,1
4.83368,-11.4484,-8.63528,1
3.97285,-13.8408,-9.13167,1
5.012,-13.2759,-8.38826,1
5.87047,-13.9239,-8.01975,1
6.78447,-13.6695,-8.36949,1
6.35336,-13.8837,-7.66749,1
5.43503,-11.8019,-8.65993,1
4.62703,-12.8022,-10.4761,1
4.92259,-12.147,-8.30184,1
5.11525,-12.8136,-7.4047,1
5.52139,-12.3228,-9.69726,1
4.42685,-12.7887,-6.98682,1
4.08598,-13.3479,-9.87352,1
4.81039,-10.5894,-6.97921,1
4.50973,-13.3119,-9.20868,1
6.31358,-13.8814,-8.37378,1
4.89388,-13.0489,-9.02687,1
5.53765,-12.606,-8.48301,1
4.47076,-13.4306,-8.73541,1
5.86563,-10.4232,-7.41533,1
5.0974,-13.1417,-8.45528,1
4.49846,-13.0487,-8.5256,1
5.87167,-13.4537,-8.97004,1
5.37455,-14.8671,-9.19361,1
6.07763,-12.4926,-8.58456,1
5.84908,-11.8103,-6.63479,1
4.32468,-12.7037,-8.61542,1
5.45843,-12.4234,-8.33542,1
3.35495,-11.6929,-9.14662,1
3.44519,-11.5407,-9.34449,1
5.98198,-13.1227,-7.82184,1
4.34442,-12.7582,-8.21735,1
5.04777,-11.891,-9.03465,1
4.72267,-12.1427,-8.40736,1
5.53699,-12.9993,-8.05394,1
4.94896,-12.043,-7.95534,1
4.9895,-13.2064,-7.71074,1
6.06188,-13.1869,-8.41527,1
6.8295,-13.2631,-8.82078,1
4.53323,-14.3441,-8.36605,1
5.98133,-12.0261,-7.52628,1
4.58823,-12.1599,-8.06122,1
5.22404,-12.9021,-8.57369,1
4.94318,-12.7438,-8.51106,1
4.89315,-13.4281,-9.65089,1
4.60989,-14.6414,-8.10908,1
4.69176,-13.1218,-8.07523,1
5.06537,-12.5985,-7.71178,1
3.74329,-13.9676,-8.00079,1
5.2629,-12.7652,-10.2331,1
5.89511,-13.6822,-8.43282,1
4.92861,-12.3533,-6.9673,1
4.88613,-12.4365,-8.9089,1
3.65187,-12.2351,-9.53954,1
4.0525,-12.805,-8.09294,1
5.34179,-12.2512,-7.82456,1
6.12761,-13.4827,-8.24569,1
4.75388,-13.7678,-8.7463,1
4.61334,-12.2715,-7.98371,1
4.58283,-13.6203,-9.28365,1
5.87758,-12.7433,-7.73774,1
4.79322,-12.779,-6.61601,1
5.2235,-14.7586,-8.94483,1
4.07641,-13.4108,-7.78682,1
5.20254,-12.603,-7.32984,1
5.07439,-12.255,-8.38516,1
5.51895,-13.9771,-7.38925,1
4.61239,-13.1052,-8.58592,1
2.86724,-13.026,-8.55633,1
4.61933,-13.3359,-9.62866,1
5.05913,-12.5013,-8.99273,1
7.29149,-12.3586,-9.23616,1
