x,y,z,label
-5.26619,5.8017,-0.249928,0
-6.1177,5.23962,0.985309,0
-4.27258,4.65306,1.35601,0
-3.73201,6.00671,3.29598,0
-5.16759,4.83347,1.47885,0
-4.97123,5.9428,1.34789,0
-4.94488,5.57202,1.15219,0
-5.09826,6.27094,1.35744,0
-5.41814,5.51257,1.09752,0
-5.71098,5.28526,1.12296,0
-5.471,3.88957,1.3554,0
-4.16069,4.51592,0.527313,0
-5.39568,5.80754,0.80604,0
-4.74379,5.40972,1.18158,0
-5.26245,5.31413,0.561801,0
-4.04176,5.20506,1.63809,0
-4.00702,5.28995,0.823497,0
-4.70849,4.81222,0.741661,0
-5.76055,5.40532,1.80602,0
-5.46178,4.6809,1.34917,0
-4.98938,4.48,1.50402,0
-4.22739,5.53394,1.17229,0
-4.3605,5.3791,1.07342,0
-4.8432,5.08002,0.939188,0
-5.35887,6.14458,1.1209,0
-4.85549,5.40783,0.689924,0
-4.44557,5.14306,0.919198,0
-5.11199,5.73206,1.80403,0
-5.93545,5.39297,1.94933,0
-5.54894,5.75493,0.611733,0
-4.68914,4.85378,0.694614,0
-4.50384,5.26121,0.890645,0
-4.08268,5.58227,0.642665,0
-5.14426,5.10944,1.56309,0
-6.28476,5.43252,2.6421,0
-5.26355,4.49319,0.765119,0
-4.05945,5.03176,2.48154,0
-5.63952,4.9542,0.805892,0
-5.41014,5.99644,0.941696,0
-5.85195,4.33865,1.03073,0
-4.00511,4.59144,1.84396,0
-4.28113,4.61432,1.78675,0
-4.70877,5.33074,1.18305,0
-4.17556,5.571,0.744253,0
-5.50899,5.95205,0.703842,0
-5.23222,5.61334,0.637666,0
-4.56854,5.66526,0.694759,0
-4.29197,5.59115,0.0800952,0
-4.96532,5.16097,0.801454,0
-5.39481,5.68823,1.0345,0
-4.88778,6.38346,1.77932,0
-4.88896,5.54233,1.28773,0
-4.7253,5.05465,1.00232,0
-4.33229,5.78143,1.27288,0
-4.37239,4.09227,1.62023,0
-4.60649,5.35234,2.47848,0
-4.41183,5.14052,1.40496,0
-5.25763,5.01211,1.24592,0
-3.98775,5.09567,2.24049,0
-4.17609,4.52796,0.95608,0
-5.50811,4.48734,1.0551,0
-4.76879,5.59872,2.4044,0
-5.67424,5.29738,1.22926,0
-4.75377,5.31203,0.803451,0
-4.40091,6.02753,1.05639,0
-5.23983,4.61159,1.23687,0
-4.99032,6.45839,1.52619,0
-3.77557,4.24936,2.0232,0
-5.18515,4.74936,1.22131,0
-5.0486,6.29024,-0.255823,0
-5.42189,5.36377,0.577961,0
-4.82189,5.76349,1.3964,0
-4.95156,5.81862,2.29329,0
-4.59055,4.81526,2.34456,0
-3.7957,4.14507,0.837415,0
-5.48763,4.25567,0.798974,0
-4.97303,5.8342,1.85992,0
-4.77558,5.16834,1.27815,0
-4.31659,5.63702,2.3556,0
-4.67006,5.45973,1.90649,0
-5.39316,4.38635,1.54345,0
-4.37048,5.13805,1.99212,0
-5.773,5.50934,1.3113,0
-4.72704,4.6194,0.730564,0
-4.83662,5.67714,1.31539,0
-4.88886,5.63985,-0.119018,0
-4.86568,4.69547,1.51678,0
-5.10801,4.65391,1.84982,0
-5.84608,4.846,1.9152,0
