x,y,z,label
-12.7715,2.22036,3.23472,9
-14.3217,2.83711,1.09782,0
-14.5235,3.07917,2.00473,9
-14.5187,3.55211,2.59931,9
-12.9339,2.405,0.26062,0
-14.4423,3.9118,0.302337,0
-14.9316,4.50027,1.22858,0
-12.4087,4.47046,0.514656,0
-13.4517,3.12298,-0.642879,0
-14.058,3.3009,1.39163,0
-13.4803,3.14145,0.675179,0
-13.6462,2.67389,1.85477,0
-12.4559,2.31136,0.412788,0
-12.9924,2.6836,-0.376221,0
-12.6836,5.67249,0.405947,0
-11.7496,3.29393,-0.258575,0
-12.1773,2.7306,0.703347,0
-13.3431,2.8964,2.32934,9
-12.4215,2.97089,0.140782,0
-14.9634,3.69212,1.15451,0
-12.6512,3.56092,0.950311,0
-14.3163,1.96481,0.597582,0
-12.2278,1.89192,2.16603,0
-14.2322,5.22158,1.73859,0
-14.3094,2.54568,-0.362634,0
-14.7973,1.0704,0.653528,0
-13.3627,2.89496,0.802532,0
-13.656,4.0764,0.328786,0
-13.915,3.7283,0.237877,0
-11.9739,3.56312,1.18152,0
-14.6002,1.81527,0.72934,0
-12.6136,2.3618,1.22648,0
-15.7262,2.83793,-0.413056,0
-14.077,2.68268,-0.0421171,0
-14.8229,1.26049,1.48599,9
-13.3169,5.03045,-0.301367,0
-13.9276,3.97153,0.210093,0
-15.0411,3.96435,1.19401,0
-12.4207,3.27416,0.736055,0
-15.6984,3.27526,0.985632,0
-14.4193,3.92066,0.557726,0
-12.7957,4.66826,0.596928,0
-13.0789,2.27362,1.255,0
-14.0326,4.37027,1.00141,0
-13.2183,1.88598,2.3767,9
-13.6036,3.35112,-0.201032,0
-13.4155,4.69828,-0.27769,0
-14.983,1.71098,1.64938,9
-13.0044,2.83495,1.20605,0
-14.8763,1.91463,0.789371,0
-13.516,2.36929,1.06044,0
-14.8,3.89295,0.874374,0
-13.7938,4.31108,1.23136,0
-15.5435,3.77317,2.78198,9
-13.931,1.6638,-0.603431,0
-14.2778,2.71815,0.401063,0
-11.667,1.83822,0.462806,0
-15.6146,3.01319,1.68627,9
-15.4886,5.16405,1.37082,9
-12.6461,1.57582,0.89831,0
-13.6919,4.92952,1.49825,0
-12.9793,4.86812,1.07559,0
-13.6088,3.55192,-0.102141,0
-14.604,1.61358,-0.26672,0
-13.5011,1.99828,1.43484,0
-13.165,2.27086,-0.324794,0
-13.1419,3.11778,-1.36984,0
-13.5424,3.56674,1.75442,0
-12.6386,3.48954,1.44295,0
-11.2441,3.49263,0.899586,0
-14.7256,2.19083,1.12161,0
-13.3376,2.22603,1.26265,0
-13.9196,3.47034,1.42843,0
-15.2046,4.40013,1.12452,0
-12.2342,3.16211,2.15924,0
-14.2927,1.38994,2.00184,9
-13.8866,2.65919,-0.342273,0
-13.2005,3.04571,1.18607,0
-14.441,2.62858,0.112873,0
-13.7099,3.58695,0.710133,0
-13.1752,2.77532,0.537328,0
-12.4595,2.36854,1.25903,0
-13.6345,3.12856,-0.168447,0
-14.539,0.851087,0.989564,0
-14.4632,1.52759,0.281464,0
-14.9239,3.61164,1.62272,9
-14.9893,2.57877,-0.383447,0
-13.3788,4.44199,1.09095,0
-14.1151,1.58284,-0.47983,0
-15.2843,3.34453,0.0987169,0
-15.3847,3.47078,1.7751,9
-14.0425,3.17703,1.38394,0
-13.173,2.41399,0.991909,0
-13.102,3.64322,1.90666,0
-12.2603,5.51953,3.14684,9
-13.1234,3.6267,0.27508,0
-14.0564,3.12007,0.323738,0
-13.3087,0.457661,2.26826,9
-14.4959,1.96834,-0.122231,0
-13.1973,2.96385,0.677387,0
-13.0911,3.77635,0.890936,0
-12.7571,5.03159,-0.0904288,0
-14.1257,2.32556,1.81571,9
-13.0492,3.94209,2.07278,0
-13.2843,3.15812,-0.746759,0
-13.9628,2.41513,1.89433,9
-14.0301,1.56777,0.859888,0
-14.0922,2.73806,0.71064,0
-15.4115,2.72558,1.69756,9
-13.4319,2.26017,2.22234,9
-12.8965,1.68985,2.86243,9
-14.0945,3.81314,1.22599,0
-13.3867,2.50813,1.82405,0
-14.3797,3.99187,1.15696,0
-12.5856,2.31146,2.69095,9
-12.8315,3.82791,0.483476,0
-12.3796,4.13529,0.0757667,0
-14.8466,2.00972,-0.380585,0
-12.7125,4.70588,2.38039,0
-14.0899,4.31616,2.47758,9
-13.7057,2.97767,1.40471,0
-13.7257,3.29856,1.39103,0
-13.9473,2.25942,-1.31495,0
-13.2811,2.57768,0.420116,0
-13.872,5.20926,0.220229,0
-13.1739,3.17843,0.503866,0
-13.4316,2.99247,0.831277,0
-12.866,3.32033,3.10575,9
-14.3136,3.263,0.859234,0
-15.5803,3.60193,1.40886,9
-13.1044,3.05411,1.57469,0
-14.2836,2.24389,0.388886,0
-14.1183,3.85959,1.88789,9
-13.8578,3.4297,2.73941,9
-14.4888,2.60858,1.9969,9
