x,y,z,label
9.05558,8.90429,9.40603,0
9.67733,9.75869,8.85965,0
10.6394,10.7093,8.45257,0
8.99832,9.16717,8.05722,0
9.90998,9.66719,7.26507,0
9.41644,9.64594,8.46585,0
8.25949,9.47914,9.04551,0
6.28687,11.4033,8.88716,0
8.18549,10.1302,8.81561,0
9.6158,10.6242,7.96946,0
10.5037,7.73805,7.74907,0
9.37301,8.6792,7.73878,0
9.47239,10.8068,7.57052,0
8.70209,10.2533,7.24158,0
9.26756,11.1693,7.85656,0
9.84618,9.34738,7.54634,0
10.8322,10.2139,8.47026,0
8.93022,10.0686,8.71148,0
10.2277,10.4456,8.50586,0
9.34194,10.7293,6.37967,0
9.81376,11.8146,8.60466,0
10.0891,8.84497,5.62457,0
8.86248,11.5363,8.74381,0
10.1856,8.59873,6.87262,0
9.15491,10.1926,6.5261,0
9.35775,8.67025,8.01611,0
8.70048,9.35574,6.4667,0
8.53306,9.73866,6.99845,0
10.3488,8.86291,10.2789,0
8.80709,11.1757,8.14508,0
10.7649,10.7357,7.83657,0
9.81396,10.2206,6.58281,0
9.20109,8.75183,8.39788,0
10.1722,9.68165,7.89753,0
9.23443,10.2209,7.10829,0
8.84429,8.58602,8.0202,0
8.80116,11.8495,8.75921,0
8.66721,9.58339,8.33105,0
8.65013,11.2019,7.46529,0
10.1538,7.74324,8.56776,0
9.70346,10.4237,6.62959,0
9.77103,8.71172,7.9302,0
8.78081,10.4384,9.54772,0
8.82052,9.5915,8.09356,0
10.5026,8.8825,7.82316,0
8.53411,8.74331,8.29669,0
10.5959,10.7387,7.77122,0
8.73453,10.0454,7.76165,0
9.61689,8.8941,8.19013,0
10.5917,10.0064,9.10236,0
8.33547,11.3544,6.26186,0
7.68396,8.64199,5.95745,0
8.27592,9.0986,8.06899,0
8.43607,9.79961,7.20328,0
8.48368,9.79931,8.68368,0
9.79825,7.9268,7.66757,0
10.1162,11.6146,8.33984,0
10.1993,9.90824,6.80285,0
9.80089,9.38697,7.78682,0
10.0956,9.65012,8.24843,0
10.5681,9.55045,6.54207,0
10.3142,10.4066,7.24214,0
10.2524,8.67081,7.44966,0
9.81749,10.5583,8.39923,0
10.4237,8.05178,8.97432,0
10.9158,10.1643,8.77994,0
9.3381,10.8104,5.83911,0
7.16422,11.279,8.64163,0
10.2023,11.257,7.54635,0
9.54262,10.3558,8.19202,0
8.57521,9.44728,7.20334,0
9.01724,10.3733,9.23464,0
9.24732,11.2588,6.32708,0
9.38023,11.0393,7.28037,0
10.6226,8.54571,8.85122,0
9.92249,10.1676,7.71254,0
9.74555,11.3059,7.63464,0
9.98689,9.59278,7.94005,0
10.1063,10.1374,9.07079,0
8.59729,9.9476,6.60209,0
8.91877,10.1765,6.0619,0
7.82608,9.04969,7.73081,0
9.24681,9.24764,7.5075,0
9.84802,10.2561,8.22078,0
9.55984,11.0473,7.38645,0
7.96755,9.80234,8.54187,0
10.5212,8.87879,7.41379,0
10.9142,10.3666,6.86579,0
9.02219,10.324,9.23988,0
9.49417,10.7684,8.59674,0
9.19877,9.7693,7.00849,0
8.922,9.09998,7.92643,0
9.99546,8.2798,6.96749,0
9.25802,10.4424,8.33549,0
9.40822,10.9828,8.62437,0
8.70483,11.0621,8.7771,0
7.71796,9.58803,7.82349,0
11.0839,7.96309,6.50268,0
9.11305,10.6272,6.89945,0
9.53914,10.3793,9.39419,0
8.02793,9.38565,6.63283,0
10.3359,9.74053,8.87276,0
9.51271,9.61155,8.79103,0
10.2506,8.91156,8.31267,0
8.80914,10.1881,7.22733,0
8.76437,10.1161,8.02972,0
11.002,10.6938,10.2299,0
9.80176,8.64125,7.76165,0
8.64854,12.2742,7.33439,0
9.07599,9.18784,7.78539,0
8.83896,11.3872,8.41056,0
11.5461,8.52224,7.1918,0
9.11535,10.2886,7.94732,0
9.81525,9.68523,6.94401,0
10.0371,8.6132,7.27448,0
8.82177,11.4616,8.87931,0
9.48493,8.97286,7.22529,0
8.57925,10.3898,6.9753,0
